;human_ensembl_id;gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ENSG00000261509.6;ENSG00000261509;TP53TG3B;19.2383981026789;25.7071403686825;2.643723356668;9.72383903324982;2.38611708723995e-22;5.91709315293762e-18
ENSG00000154146.13;ENSG00000154146;NRGN;295.577686340712;1.91326826988816;0.204791015668216;9.34254007015557;9.40502344625746e-21;2.33225771420292e-16
ENSG00000121858.11;ENSG00000121858;TNFSF10;23.770816675691;2.91606534610922;0.33142914047626;8.79845792050411;1.38708995865608e-18;3.43970567947535e-14
ENSG00000168779.19;ENSG00000168779;SHOX2;237.117616981779;-2.34952001348759;0.287064910407905;-8.18462977641203;2.73142050872564e-16;6.77337657753784e-12
ENSG00000125462.17;ENSG00000125462;MIR9-1HG;2094.95161289149;-2.82193474571732;0.349492132736238;-8.07438703590802;6.78164501466688e-16;1.68171233073709e-11
ENSG00000108439.10;ENSG00000108439;PNPO;616.870788429438;-0.524102310254161;0.0649635742037979;-8.06763354199068;7.16737919195689e-16;1.77736669202147e-11
ENSG00000085276.18;ENSG00000085276;MECOM;148.649704783729;-2.30109623789484;0.287130819870737;-8.0141039507036;1.10942848302274e-15;2.75116075219979e-11
ENSG00000128683.14;ENSG00000128683;GAD1;201.401520834121;-2.26621565352396;0.283781798415348;-7.98576817180885;1.39649916857482e-15;3.46303863823184e-11
ENSG00000180828.2;ENSG00000180828;BHLHE22;151.895887350001;-2.29042917571987;0.298228221284007;-7.68012217575701;1.58936934711871e-14;3.94131810698497e-10
ENSG00000196482.17;ENSG00000196482;ESRRG;1321.5840294293;-1.08897432615061;0.14185774528364;-7.6765235762999;1.63463981320532e-14;4.05357980878654e-10
ENSG00000130675.15;ENSG00000130675;MNX1;418.408282268614;-2.41293712644676;0.314582520348677;-7.67028353569141;1.71616560862832e-14;4.25574747627652e-10
ENSG00000101438.4;ENSG00000101438;SLC32A1;132.237349277789;-2.86403834242189;0.37555308358016;-7.62618779512851;2.41797520253226e-14;5.9960949072395e-10
ENSG00000157005.4;ENSG00000157005;SST;921.750345877328;-2.44244892790264;0.324259296022398;-7.53239446906691;4.9818185693766e-14;1.23539136883401e-09
ENSG00000165970.11;ENSG00000165970;SLC6A5;91.3569339319121;-3.23044928860932;0.435110171355851;-7.4244398344973;1.13258211105456e-13;2.8085771189931e-09
ENSG00000121454.6;ENSG00000121454;LHX4;603.019955272843;-1.775487144692;0.24859077063731;-7.14220861917035;9.18430619531974e-13;2.27752425031539e-08
ENSG00000164651.16;ENSG00000164651;SP8;78.2216695567807;-2.48282817698681;0.35386282178584;-7.0163578204026;2.27726408361515e-12;5.64715947454885e-08
ENSG00000110455.13;ENSG00000110455;ACCS;37.9137516396218;2.92468173750859;0.418420332305695;6.98981744360319;2.75244157644264e-12;6.82550462126246e-08
ENSG00000162944.10;ENSG00000162944;RFTN2;209.705953079332;-1.23317088578808;0.176521973834314;-6.98593415313578;2.82966776137149e-12;7.01701011464902e-08
ENSG00000116833.14;ENSG00000116833;NR5A2;59.1059178391442;-1.82183592595341;0.262319811182245;-6.94509468325174;3.78206576714636e-12;9.37876668936955e-08
ENSG00000250467.1;ENSG00000250467;PHOX2B-AS1;36.5448927852797;1.5328971439453;0.221775592570898;6.91192897367756;4.78107241028382e-12;1.18561033630218e-07
ENSG00000166130.15;ENSG00000166130;IKBIP;322.0215257022;0.46709790458269;0.0677355588187335;6.89590390525434;5.35233683264432e-12;1.32727248775914e-07
ENSG00000111341.9;ENSG00000111341;MGP;204.975542815455;3.01330402536637;0.438620011975807;6.8699647601409;6.42177659610749e-12;1.59247216030273e-07
ENSG00000119715.15;ENSG00000119715;ESRRB;183.134065682832;-1.6266047551163;0.237878206696895;-6.83797300182661;8.03215291672329e-12;1.99181328028904e-07
ENSG00000132692.19;ENSG00000132692;BCAN;1325.75570351267;-2.3851446977184;0.349456938292175;-6.82528928850232;8.77483092816212e-12;2.17598257356564e-07
